"Opportunity Owner";"Opportunity Name";"Account Name";"City";"Stage";"Fiscal Period";"Amount Currency";"Amount";"Probability (%)";"Age";"Created Date";"Close Date";"Stage Duration";"Opportunity ID";"Agreed spots";"Country";"Dedicated Spots";"Lead Source";"Amount (converted) Currency";"Amount (converted)";"Fixed Fee Amount (Monthly) Currency";"Fixed Fee Amount (Monthly)";"Fixed Fee / Revenue Share";"GarageID";"Launch Date";"Total ParkBee Spots";"Location"
"Adrian Thomas";"CBRE GI - 230 Blackfriars Road (London, SE1)";"CBRE Global Investors (LONDON)";"London";"Proposal";"Q4-2017";"GBP";"78000,00";"50";"337,0000000000";"21-8-2017";"1-12-2017";"337,0000000000";"0065800000LY6kt";"";"UK";"Yes";"Networking / Event";"EUR";"91764,71";"GBP";"";"";"";"";"30";"230 Blackfriars Road"
"Mitch Nijburg";"Gouda";"White House Development";"Gouda";"Proposal";"Q4-2018";"EUR";"8500,00";"50";"312,0000000000";"15-9-2017";"30-11-2018";"312,0000000000";"0065800000N4MkB";"";"NL";"";"";"EUR";"8500,00";"EUR";"";"Revenue Share";"";"";"10";""
"Daniel Mens";"VU";"VUmc";"Amsterdam";"Proposal";"Q4-2018";"EUR";"15000,00";"50";"320,0000000000";"7-9-2017";"17-10-2018";"320,0000000000";"0065800000MGlAO";"";"NL";"";"";"EUR";"15000,00";"EUR";"";"Revenue Share";"";"";"0";""
"Mitch Nijburg";"Achtergracht - AMSTERDAM";"Bouwaandeel";"Amsterdam";"Proposal";"Q3-2018";"EUR";"75000,00";"50";"284,0000000000";"13-10-2017";"30-9-2018";"137,0000000000";"0065800000OY2Uo";"";"NL";"";"";"EUR";"75000,00";"EUR";"";"Revenue Share";"";"";"33";""
"Alex Murden";"Limehouse";"Regal London";"London";"Proposal";"Q1-2018";"GBP";"26700,00";"50";"175,0000000000";"30-1-2018";"20-2-2018";"175,0000000000";"0065800000VQzZU";"";"UK";"";"";"EUR";"31411,76";"GBP";"600,00";"Fixed Fee (Guaranteed Income)";"";"";"6";""
"Sarah Rijken";"Jaarbeursplein";"Jaarbeurs";"Utrecht";"Proposal";"Q4-2018";"EUR";"";"50";"237,0000000000";"29-11-2017";"31-10-2018";"54,0000000000";"0065800000RKdNp";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"0";""
"Adrian Thomas";"Crane Int Plc - Watling House (London, NW9)";"Crane Internatonal Plc";"";"Proposal";"Q2-2017";"GBP";"20000,00";"50";"438,0000000000";"12-5-2017";"31-5-2017";"438,0000000000";"0065800000Gszej";"";"UK";"";"Inbound Phone";"EUR";"23529,41";"GBP";"";"";"";"";"";"297-303 Edgware Road"
"Jordy Cobelens";"Luchthavenweg 16";"Den Helder Airport";"Den Helder";"Proposal";"Q3-2018";"EUR";"75000,00";"50";"351,0000000000";"7-8-2017";"31-8-2018";"347,0000000000";"0065800000KwDYx";"";"NL";"";"Inbound Email";"EUR";"75000,00";"EUR";"";"Revenue Share";"";"";"35";"Luchthavenweg 16"
"Daniel Mens";"Partnership";"Schmit Parking Solutions";"?";"Proposal";"Q3-2018";"EUR";"20000,00";"50";"327,0000000000";"31-8-2017";"31-8-2018";"6,0000000000";"0065800000Lwrv9";"";"NL";"";"";"EUR";"20000,00";"EUR";"";"Revenue Share";"";"";"0";""
"Sarah Rijken";"Kraanspoor";"CBRE Property Management Netherlands";"Amsterdam";"Proposal";"Q3-2018";"EUR";"126074,00";"50";"327,0000000000";"31-8-2017";"31-8-2018";"327,0000000000";"0065800000Lwq2D";"";"NL";"";"";"EUR";"126074,00";"EUR";"";"Revenue Share";"";"";"0";""
"Adrian Thomas";"Lambeth Council - 10 Somerleyton Road (London, SW9)";"London Borough of Lambeth";"London";"Proposal";"Q4-2017";"GBP";"";"50";"232,0000000000";"4-12-2017";"22-12-2017";"232,0000000000";"0065800000RL9R1";"";"UK";"Yes";"";"EUR";"";"GBP";"";"";"";"";"";""
"Adrian Thomas";"BT - The Boathouse (Evesham, WR11)";"British Telecoms (BT)";"Evesham";"Proposal";"Q4-2017";"EUR";"9000,00";"50";"308,0000000000";"19-9-2017";"31-10-2017";"308,0000000000";"0065800000N5tvy";"";"UK";"Yes";"";"EUR";"9000,00";"EUR";"";"";"";"";"20";""
"Mitch Nijburg";"Calandstraat - DEN HAAG";"Cocon Vastgoed B.V.";"Den Haag";"Proposal";"Q3-2018";"EUR";"10000,00";"50";"285,0000000000";"12-10-2017";"31-8-2018";"137,0000000000";"0065800000O8SwO";"";"NL";"";"";"EUR";"10000,00";"EUR";"";"Revenue Share";"";"";"35";""
"Mitch Nijburg";"ADO Stadion";"Urban Interest";"Den Haag";"Proposal";"Q4-2018";"EUR";"";"50";"285,0000000000";"12-10-2017";"30-12-2018";"285,0000000000";"0065800000O8Rix";"";"NL";"";"";"EUR";"";"EUR";"";"";"";"";"40";""
"Alex Murden";"LPH - Kennington";"London Property Holdings";"London";"Proposal";"Q1-2018";"EUR";"60000,00";"50";"145,0000000000";"1-3-2018";"15-3-2018";"145,0000000000";"0065800000XQhRl";"";"UK";"";"";"EUR";"60000,00";"EUR";"1800,00";"Fixed Fee (Guaranteed Income)";"";"";"20";""
"Alex Murden";"LPH - Kensington";"London Property Holdings";"London";"Proposal";"Q1-2018";"GBP";"112000,00";"50";"145,0000000000";"1-3-2018";"15-3-2018";"145,0000000000";"0065800000XQgCu";"";"UK";"";"";"EUR";"131764,71";"GBP";"2800,00";"Fixed Fee (Guaranteed Income)";"";"";"20";""
"Jordy Cobelens";"Amsteldijk 220 (Amsterdam) - Fieldfisher";"Fieldfisher";"Amsterdam";"Proposal";"Q3-2018";"EUR";"16066,00";"50";"21,0000000000";"3-7-2018";"31-8-2018";"21,0000000000";"0065800000fU76T";"";"NL";"";"";"EUR";"16066,00";"EUR";"";"Revenue Share";"";"";"15";""
"Sarah Rijken";"Fregelaan Rosser - Amsterdam";"Bouwinvest";"Amsterdam";"Proposal";"Q3-2018";"EUR";"32132,00";"50";"109,0000000000";"6-4-2018";"31-8-2018";"109,0000000000";"0065800000ZBvvB";"";"NL";"";"";"EUR";"32132,00";"EUR";"";"Revenue Share";"";"";"16";""
"Alex Murden";"Maple House - TCR";"Lazari Investments Ltd";"London";"Proposal";"Q2-2018";"GBP";"125000,00";"50";"104,0000000000";"11-4-2018";"26-4-2018";"104,0000000000";"0065800000ZCgzq";"";"UK";"";"";"EUR";"147058,82";"GBP";"";"Fixed Fee (Guaranteed Income)";"";"";"20";""
"Sarah Rijken";"Parking Centrum Oosterdok - Amsterdam";"InPublic";"Amsterdam";"Proposal";"Q1-2019";"EUR";"100000,00";"50";"102,0000000000";"13-4-2018";"28-2-2019";"102,0000000000";"0065800000ZCyd3";"";"NL";"";"";"EUR";"100000,00";"EUR";"";"Revenue Share";"";"";"300";""
"Jordy Cobelens";"Rijnstaete - Utrecht - Sebald Invest";"SebaldInvest";"Utrecht";"Proposal";"Q3-2018";"EUR";"86472,00";"50";"110,0000000000";"5-4-2018";"31-8-2018";"110,0000000000";"0065800000ZBrVj";"";"NL";"";"";"EUR";"86472,00";"EUR";"";"Revenue Share";"";"";"240";""
"Adrian Thomas";"Live-in Guardians - Bromley on Bow (London, E3)";"Live-in Guardians";"London";"Proposal";"Q2-2018";"GBP";"52031,00";"50";"99,0000000000";"16-4-2018";"30-4-2018";"99,0000000000";"0065800000ZDTkk";"";"UK";"No";"";"EUR";"61212,94";"GBP";"800,00";"Fixed Fee (Guaranteed Income)";"";"";"40";""
"Alex Murden";"222 Grays Inn Road";"Telereal Trillium";"London";"Proposal";"Q2-2018";"EUR";"180000,00";"50";"104,0000000000";"11-4-2018";"19-4-2018";"104,0000000000";"0065800000ZCgyn";"";"UK";"Yes";"";"EUR";"180000,00";"EUR";"";"Fixed Fee (Guaranteed Income)";"";"";"60";""
"Jordy Cobelens";"Parnassusweg - Locatellikade 1 - Amsterdam - Sebald Invest";"SebaldInvest";"Amsterdam";"Proposal";"Q3-2018";"EUR";"122644,00";"50";"110,0000000000";"5-4-2018";"31-8-2018";"110,0000000000";"0065800000ZBrWX";"";"NL";"";"";"EUR";"122644,00";"EUR";"";"Revenue Share";"";"";"290";""
"Mitch Nijburg";"Bezuidenhoutseweg";"Urban Interest";"Den Haag";"Proposal";"Q3-2018";"EUR";"10000,00";"50";"285,0000000000";"12-10-2017";"31-8-2018";"285,0000000000";"0065800000O8RjH";"";"NL";"";"";"EUR";"10000,00";"EUR";"";"Revenue Share";"";"";"6";""
"Mitch Nijburg";"Zeeheld";"Den Haag Gemeente";"Den Haag";"Proposal";"Q4-2018";"EUR";"100000,00";"50";"285,0000000000";"12-10-2017";"30-10-2018";"285,0000000000";"0065800000O8RYT";"";"NL";"";"";"EUR";"100000,00";"EUR";"";"";"";"";"137";""
"Adrian Thomas";"VPS - Cleveland Street (London, W1)";"VPS UK Ltd";"London";"Proposal";"Q4-2017";"GBP";"110000,00";"50";"281,0000000000";"16-10-2017";"30-11-2017";"281,0000000000";"0065800000OZPSo";"";"UK";"No";"";"EUR";"129411,76";"GBP";"";"";"";"";"45";""
"Jordy Cobelens";"Bergweg / Hockeyclub HBS - PWN";"PWN";"Bloemendaal";"Proposal";"Q3-2018";"EUR";"";"50";"85,0000000000";"30-4-2018";"30-9-2018";"27,0000000000";"0065800000aub8e";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"450";""
"Sarah Rijken";"Olympisch Stadion - Amsterdam";"Bouwinvest";"Amsterdam";"Proposal";"Q4-2018";"EUR";"";"50";"97,0000000000";"18-4-2018";"31-10-2018";"78,0000000000";"0065800000ZDtTQ";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"0";""
"Jordy Cobelens";"Koevlak - PWN";"PWN";"Overveen";"Proposal";"Q3-2018";"EUR";"";"50";"90,0000000000";"25-4-2018";"30-9-2018";"27,0000000000";"0065800000arxju";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"300";""
"Adrian Thomas";"Mitie (MoJ) - Greenwich Crown Court";"Mitie Security Limited";"";"Proposal";"Q1-2017";"GBP";"79000,00";"50";"544,0000000000";"26-1-2017";"31-3-2017";"544,0000000000";"0065800000Cm5ko";"";"UK";"";"Spotting / Bike Tours";"EUR";"92941,18";"GBP";"";"";"";"";"";"9 Blackheath Road"
"Adrian Thomas";"Ballymore Group - Phoenix Heights";"Ballymore Group";"London";"Proposal";"Q1-2018";"GBP";"60000,00";"50";"175,0000000000";"30-1-2018";"28-2-2018";"175,0000000000";"0065800000VQy46";"";"UK";"No";"";"EUR";"70588,24";"GBP";"3666,00";"Fixed Fee (Guaranteed Income)";"";"";"39";""
"Adrian Thomas";"Quick Parking - Canary Wharf (Poplar E14)";"Quick Parking";"";"Proposal";"Q1-2017";"GBP";"62600,00";"70";"565,0000000000";"5-1-2017";"31-1-2017";"565,0000000000";"0065800000BPATp";"";"UK";"";"Spotting / Bike Tours";"EUR";"73647,06";"GBP";"";"";"";"";"";"Prestage Way"
"Adrian Thomas";"YPML - Lynton House, Tavistock Sq (WC1)";"Yorke Property Management Ltd (YPML)";"";"Proposal";"Q1-2017";"GBP";"34160,00";"60";"565,0000000000";"5-1-2017";"28-2-2017";"565,0000000000";"0065800000BPBt5";"";"UK";"";"Inbound Email";"EUR";"40188,24";"GBP";"";"";"";"";"";"7-12 Tavistock Square"
"Adrian Thomas";"KF-IM / Columbus Courtyard (Canary Wharf, E14)";"Knight Frank - Investment Management";"";"Proposal";"Q1-2017";"GBP";"122000,00";"50";"565,0000000000";"5-1-2017";"31-1-2017";"433,0000000000";"0065800000BPB3n";"";"UK";"";"Inbound Phone";"EUR";"143529,41";"GBP";"";"";"";"";"";"Columbus Courtyard"
"Nick Scott-Jones";"Colliers - Holborn Gate";"Easy Car Parks Management Ltd";"";"Proposal";"Q1-2017";"GBP";"38400,00";"70";"565,0000000000";"5-1-2017";"14-2-2017";"565,0000000000";"0065800000BPEJH";"";"UK";"";"Networking / Event";"EUR";"45176,47";"GBP";"";"";"";"";"";"Holborn Gate"
"Nick Scott-Jones";"VPS - Bracknell British Legion (Bracknell)";"VPS UK Ltd";"";"Proposal";"Q1-2017";"GBP";"45000,00";"70";"540,0000000000";"30-1-2017";"25-2-2017";"540,0000000000";"0065800000CmwWm";"";"UK";"";"Networking / Event";"EUR";"52941,18";"GBP";"";"";"";"";"";"Stanley Walk"
"Mitch Nijburg";"Royal Mail Group - 256 High Road";"Royal Mail Group - CushWake";"";"Proposal";"Q1-2017";"GBP";"16500,00";"50";"532,0000000000";"7-2-2017";"28-2-2017";"525,0000000000";"0065800000Cp0zJ";"";"UK";"";"Existing Client Referral";"EUR";"19411,76";"GBP";"";"";"";"";"";"256 High Road"
"Mitch Nijburg";"Royal Mail Group - Central Park Avenue";"Royal Mail Group - CushWake";"";"Proposal";"Q1-2017";"GBP";"85000,00";"50";"532,0000000000";"7-2-2017";"28-2-2017";"525,0000000000";"0065800000Cp1KA";"";"UK";"";"Existing Client Referral";"EUR";"100000,00";"GBP";"";"";"";"";"";"29 Central Park Avenue"
"Nick Scott-Jones";"VPS UK - British Legion (Manchester)";"VPS UK Ltd";"";"Proposal";"Q1-2017";"GBP";"25000,00";"50";"519,0000000000";"20-2-2017";"18-3-2017";"519,0000000000";"0065800000DHQh2";"";"UK";"";"Networking / Event";"EUR";"29411,76";"GBP";"";"";"";"";"";"Woodhouse Lane"
"Alex Murden";"Ruskin Square";"JLL - Alternatives Team";"";"Proposal";"Q1-2017";"EUR";"185000,00";"50";"509,0000000000";"2-3-2017";"10-3-2017";"509,0000000000";"0065800000DjWva";"";"UK";"";"Cold Call";"EUR";"185000,00";"EUR";"";"";"";"";"";"Dingwall Rd"
"Daniel Mens";"Westblaak 182 - Rotterdam";"Cromwell Property Group";"Rotterdam";"Proposal";"Q3-2018";"EUR";"35608,00";"50";"511,0000000000";"28-2-2017";"20-9-2018";"174,0000000000";"0065800000Disbl";"";"NL";"";"Increasing Portfolio";"EUR";"35608,00";"EUR";"";"Revenue Share";"";"";"10";"Westblaak 182"
"Sarah Rijken";"Westersingel 12";"Newomij";"Rotterdam";"Proposal";"Q4-2018";"EUR";"20000,00";"50";"511,0000000000";"28-2-2017";"30-11-2018";"511,0000000000";"0065800000DisEE";"";"NL";"";"Existing Client Referral";"EUR";"20000,00";"EUR";"";"Revenue Share";"";"";"0";"Westersingel 12"
"Sarah Rijken";"WTC Rotterdam";"Bouwinvest";"Rotterdam";"Proposal";"Q4-2018";"EUR";"96000,00";"50";"511,0000000000";"28-2-2017";"31-10-2018";"484,0000000000";"0065800000DitG2";"";"NL";"";"Existing Client Referral";"EUR";"96000,00";"EUR";"";"Revenue Share";"";"";"0";"Beursplein 37"
"Daniel Mens";"Rai Amsterdam";"RAI Amsterdam";"Amsterdam";"Proposal";"Q3-2018";"EUR";"75000,00";"50";"511,0000000000";"28-2-2017";"28-9-2018";"305,0000000000";"0065800000DitJc";"";"NL";"";"Networking / Event";"EUR";"75000,00";"EUR";"";"Revenue Share";"";"";"0";"Europlein 24"
"Alex Murden";"Ashtead Football Club";"Mole Valley Council";"London";"Proposal";"Q1-2018";"GBP";"10000,00";"50";"160,0000000000";"14-2-2018";"23-2-2018";"160,0000000000";"0065800000WN1u5";"";"UK";"";"";"EUR";"11764,71";"GBP";"";"Revenue Share";"";"";"10";""
"Alex Murden";"Bury House";"Grafton Advisors";"LONDON";"Proposal";"Q1-2018";"GBP";"85000,00";"50";"251,0000000000";"15-11-2017";"28-2-2018";"251,0000000000";"0065800000QU9nz";"";"UK";"";"";"EUR";"100000,00";"GBP";"2505,00";"Fixed Fee (Guaranteed Income)";"";"";"14";"Bury Street"
"Jordy Cobelens";"Blaak 555 (Rotterdam) - Cromwell Property Group";"Cromwell Property Group";"Rotterdam";"Proposal";"Q3-2018";"EUR";"166017,00";"50";"245,0000000000";"21-11-2017";"31-8-2018";"245,0000000000";"0065800000QV6iM";"";"NL";"";"";"EUR";"166017,00";"EUR";"";"Revenue Share";"";"";"58";""
"Mitch Nijburg";"Utrechtsestraat - ARNHEM";"Cityside Apartments";"Arnhem";"Proposal";"Q3-2018";"EUR";"10000,00";"50";"218,0000000000";"18-12-2017";"31-8-2018";"218,0000000000";"0065800000RMvoT";"";"NL";"";"";"EUR";"10000,00";"EUR";"";"Revenue Share";"";"";"";""
"Mitch Nijburg";"Kanaalstraat - APELDOORN";"Cityside Apartments";"Apeldoorn";"Proposal";"Q3-2018";"EUR";"10000,00";"50";"218,0000000000";"18-12-2017";"31-8-2018";"218,0000000000";"0065800000RMveh";"";"NL";"";"";"EUR";"10000,00";"EUR";"";"Revenue Share";"";"";"";""
"Sarah Rijken";"Fregelaan Göbel - Amsterdam";"Bouwinvest";"Amsterdam";"Proposal";"Q3-2018";"EUR";"26107,00";"50";"187,0000000000";"18-1-2018";"31-8-2018";"109,0000000000";"0065800000UzcQe";"";"NL";"";"";"EUR";"26107,00";"EUR";"";"Revenue Share";"";"";"13";""
"Mitch Nijburg";"Gatwickstraat - Amsterdam";"Equity Estate";"Amsterdam";"Proposal";"Q3-2018";"EUR";"50000,00";"50";"187,0000000000";"18-1-2018";"31-8-2018";"187,0000000000";"0065800000UzpR0";"";"NL";"";"";"EUR";"50000,00";"EUR";"";"Revenue Share";"";"";"50";""
"Sarah Rijken";"Hema NDSM - Amsterdam";"Hema";"Amsterdam";"Proposal";"Q4-2018";"EUR";"86198,00";"50";"78,0000000000";"7-5-2018";"31-10-2018";"78,0000000000";"0065800000bRzYJ";"";"NL";"No";"";"EUR";"86198,00";"EUR";"";"Revenue Share";"";"";"200";""
"Mitch Nijburg";"Royal Mail Group - 29-31 Stuart Road";"Royal Mail Group - CushWake";"";"Proposal";"Q2-2017";"GBP";"105500,00";"50";"525,0000000000";"14-2-2017";"30-4-2017";"525,0000000000";"0065800000DFy7P";"";"UK";"";"Inbound Phone";"EUR";"124117,65";"GBP";"";"";"";"";"";"29-31 Stuart Road"
"Alex Murden";"Bristol BS2 8SF";"Property Options";"";"Proposal";"Q1-2017";"GBP";"50000,00";"50";"524,0000000000";"15-2-2017";"28-2-2017";"524,0000000000";"0065800000DGFyc";"";"UK";"";"";"EUR";"58823,53";"GBP";"";"";"";"";"";"Unit B Dean Street"
"Adrian Thomas";"NGG - Sloane Avenue, Chelsea";"Nell Gwynn Garages (& Accommodation)";"";"Proposal";"Q1-2017";"GBP";"57529,47";"50";"525,0000000000";"14-2-2017";"31-3-2017";"525,0000000000";"0065800000DG0Zy";"";"UK";"";"Inbound Phone";"EUR";"67681,73";"GBP";"";"";"";"";"";"Sloane Avenue, Chelsea"
"Mitch Nijburg";"Royal Mail Group - Eastern Avenue, Gloucester GL4 3AA";"Royal Mail Group - CushWake";"";"Proposal";"Q2-2017";"GBP";"46800,00";"50";"525,0000000000";"14-2-2017";"30-4-2017";"525,0000000000";"0065800000DFy9K";"";"UK";"";"Inbound Phone";"EUR";"55058,82";"GBP";"";"";"";"";"";"Eastern Avenue"
"Adrian Thomas";"Bourne Capital - Queensway (London W2)";"Bourne Capital";"London";"Proposal";"Q2-2017";"GBP";"121680,00";"50";"490,0000000000";"21-3-2017";"30-6-2017";"490,0000000000";"0065800000FBzVM";"";"UK";"No";"Networking / Event";"EUR";"143152,94";"GBP";"5000,00";"Fixed Fee (Guaranteed Income)";"";"";"25";"Queensway, London W2 4QW"
"Adrian Thomas";"Bourne Capital - Waterloo Estate (London SE1)";"Bourne Capital";"";"Proposal";"Q2-2017";"GBP";"160000,00";"50";"490,0000000000";"21-3-2017";"30-6-2017";"490,0000000000";"0065800000FBzT8";"";"UK";"";"Networking / Event";"EUR";"188235,29";"GBP";"";"";"";"";"";"91 Waterloo Rd, Lambeth"
"Jordy Cobelens";"Westblaak 107-119 - Rotterdam";"Merin";"Rotterdam";"Proposal";"Q3-2018";"EUR";"25025,00";"50";"475,0000000000";"5-4-2017";"29-9-2018";"475,0000000000";"0065800000Fkhiw";"";"NL";"";"Inbound Phone";"EUR";"25025,00";"EUR";"";"Revenue Share";"";"";"0";"Westblaak 107-119"
"Jordy Cobelens";"Bogert 1-11 - Eindhoven";"Merin";"Eindhoven";"Proposal";"Q4-2018";"EUR";"10556,00";"50";"475,0000000000";"5-4-2017";"31-10-2018";"475,0000000000";"0065800000FkheB";"";"NL";"";"Inbound Phone";"EUR";"10556,00";"EUR";"";"Revenue Share";"";"";"0";"Bogert 1-11"
"Jordy Cobelens";"Fellenoord 200 (parkeerdek 1) - Eindhoven";"Merin";"Eindhoven";"Proposal";"Q3-2018";"EUR";"14181,00";"50";"475,0000000000";"5-4-2017";"30-9-2018";"475,0000000000";"0065800000Fkhcj";"";"NL";"";"Inbound Phone";"EUR";"14181,00";"EUR";"";"Revenue Share";"";"";"75";"Fellenoord 200"
"Nick Scott-Jones";"VPS - Fairgate House (Wembley)";"VPS UK Ltd";"";"Proposal";"Q2-2017";"GBP";"64000,00";"50";"475,0000000000";"5-4-2017";"31-5-2017";"475,0000000000";"0065800000Fkkck";"";"UK";"";"Existing Client Referral";"EUR";"75294,12";"GBP";"";"";"";"";"";"390 – 408 High Road"
"Jordy Cobelens";"Fokkerweg - Leiden";"Merin";"Leiden";"Proposal";"Q4-2018";"EUR";"10783,50";"50";"475,0000000000";"5-4-2017";"31-10-2018";"475,0000000000";"0065800000FkhfJ";"";"NL";"";"Inbound Phone";"EUR";"10783,50";"EUR";"";"Revenue Share";"";"";"0";"Fokkerweg"
"Jordy Cobelens";"Schipholweg 55-89 - Leiden";"Merin";"Leiden";"Proposal";"Q3-2018";"EUR";"9574,11";"50";"475,0000000000";"5-4-2017";"30-9-2018";"475,0000000000";"0065800000Fkhhe";"";"NL";"";"Inbound Phone";"EUR";"9574,11";"EUR";"";"Revenue Share";"";"";"0";"Parmentierweg 4"
"Jordy Cobelens";"Hogehilweg - Amsterdam";"Merin";"Amsterdam";"Proposal";"Q3-2018";"EUR";"30712,50";"50";"475,0000000000";"5-4-2017";"30-9-2018";"475,0000000000";"0065800000FkhXF";"";"NL";"";"Inbound Phone";"EUR";"30712,50";"EUR";"";"Revenue Share";"";"";"0";"Hogehilweg 4"
"Jordy Cobelens";"Sint Jacobsstraat 16 - Utrecht";"Merin";"Utrecht";"Proposal";"Q3-2018";"EUR";"35686,65";"50";"475,0000000000";"5-4-2017";"30-9-2018";"475,0000000000";"0065800000FkiIe";"";"NL";"";"Inbound Phone";"EUR";"35686,65";"EUR";"";"Revenue Share";"";"";"0";"Sint Jacobsstraat 16"
"Jordy Cobelens";"Nieuwe Oeverstraat 50 - Arnhem";"Merin";"Arnhem";"Proposal";"Q3-2018";"EUR";"21590,89";"50";"475,0000000000";"5-4-2017";"30-9-2018";"475,0000000000";"0065800000Fkhb7";"";"NL";"";"Inbound Phone";"EUR";"21590,89";"EUR";"";"Revenue Share";"";"";"0";"Nieuwe Oeverstraat 50"
"Jordy Cobelens";"Karspeldreef - Amsterdam";"Merin";"Amsterdam";"Proposal";"Q3-2018";"EUR";"58441,50";"50";"475,0000000000";"5-4-2017";"31-8-2018";"475,0000000000";"0065800000FkhU6";"";"NL";"";"Inbound Phone";"EUR";"58441,50";"EUR";"";"Revenue Share";"";"";"0";"Karspeldreef 8"
"Jordy Cobelens";"Hogehilweg - Amsterdam";"Merin";"Amsterdam";"Proposal";"Q3-2018";"EUR";"9126,00";"50";"475,0000000000";"5-4-2017";"30-9-2018";"475,0000000000";"0065800000FkhVs";"";"NL";"";"Inbound Phone";"EUR";"9126,00";"EUR";"";"Revenue Share";"";"";"0";"Hogehilweg 8"
"Alex Murden";"Clearway - Lower Clapton Road (London E5)";"Clearway Security";"";"Proposal";"Q2-2017";"EUR";"153000,00";"50";"475,0000000000";"5-4-2017";"30-6-2017";"475,0000000000";"0065800000FkfFK";"";"UK";"";"Spotting / Bike Tours";"EUR";"153000,00";"EUR";"";"";"";"";"";"4 Lower Clapton Road"
"Jordy Cobelens";"Oude Apeldoornseweg - Apeldoorn";"Merin";"Apeldoorn";"Proposal";"Q3-2018";"EUR";"17875,00";"50";"475,0000000000";"5-4-2017";"30-9-2018";"475,0000000000";"0065800000FkiHb";"";"NL";"";"Inbound Phone";"EUR";"17875,00";"EUR";"";"Revenue Share";"";"";"0";"Oude Apeldoornseweg 41-45"
"Sarah Rijken";"Vijzelgracht 50 - Amsterdam";"Hines Europe";"Amsterdam";"Proposal";"Q3-2019";"EUR";"158876,00";"50";"57,0000000000";"28-5-2018";"1-8-2019";"57,0000000000";"0065800000cn8Fc";"";"NL";"";"";"EUR";"158876,00";"EUR";"";"Revenue Share";"";"";"38";""
"Jordy Cobelens";"Hoge Erasmus Office - Rotterdam";"Mayfield Asset and Property Management";"Rotterdam";"Proposal";"Q3-2018";"EUR";"63099,00";"50";"56,0000000000";"29-5-2018";"31-8-2018";"56,0000000000";"0065800000cnlud";"";"NL";"";"";"EUR";"63099,00";"EUR";"";"Revenue Share";"";"";"100";""
"Jordy Cobelens";"Franz-Lisztplantsoen 100 (C&W Kantoor Utrecht) - Utrecht";"Cushman & Wakefield NL";"Utrecht";"Proposal";"Q3-2018";"EUR";"20192,00";"50";"56,0000000000";"29-5-2018";"31-8-2018";"56,0000000000";"0065800000cnrni";"";"NL";"";"";"EUR";"20192,00";"EUR";"";"Revenue Share";"";"";"30";""
"Sarah Rijken";"Huddestraat 7 - Amsterdam";"Bierens Incasso Advocaten B.V.";"Amsterdam";"Proposal";"Q1-2019";"EUR";"4339,00";"50";"69,0000000000";"16-5-2018";"22-3-2019";"69,0000000000";"0065800000bs7Jw";"";"NL";"";"";"EUR";"4339,00";"EUR";"";"Revenue Share";"";"";"5";""
"Jordy Cobelens";"Jansveld";"Parking Praha";"Utrecht";"Proposal";"Q3-2018";"EUR";"14000,00";"50";"490,0000000000";"21-3-2017";"30-9-2018";"490,0000000000";"0065800000FBuaB";"";"NL";"";"Cold Call";"EUR";"14000,00";"EUR";"";"Revenue Share";"";"";"0";"Jansveld 25-27"
"Adrian Thomas";"Union Property - Centenary Way, (Manchester M50)";"Union Property Services Ltd";"";"Proposal";"Q3-2017";"EUR";"120000,00";"50";"484,0000000000";"27-3-2017";"31-7-2017";"484,0000000000";"0065800000FI7Vx";"";"UK";"";"Networking / Event";"EUR";"120000,00";"EUR";"";"";"";"";"";"1 Centenary Way"
"Adrian Thomas";"Union Property - Eagle Star House (NUT, NE3)";"Union Property Services Ltd";"";"Proposal";"Q2-2017";"GBP";"24000,00";"50";"484,0000000000";"27-3-2017";"30-6-2017";"484,0000000000";"0065800000FI52n";"";"UK";"";"Networking / Event";"EUR";"28235,29";"GBP";"";"";"";"";"";"Regent Centre"
"Adrian Thomas";"Union Property - Cobalt House (NUT, NE27)";"Union Property Services Ltd";"";"Proposal";"Q2-2017";"GBP";"8000,00";"50";"484,0000000000";"27-3-2017";"30-6-2017";"484,0000000000";"0065800000FI7fs";"";"UK";"";"Spotting / Bike Tours";"EUR";"9411,76";"GBP";"";"";"";"";"";"15 The Silverlink N, Newcastle upon Tyne NE27 0QG"
"Alex Murden";"PureGym - Caversham Road (Reading, RG1)";"PureGym";"";"Proposal";"Q2-2017";"GBP";"";"50";"484,0000000000";"27-3-2017";"31-5-2017";"459,0000000000";"0065800000FI0wY";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"69 Caversham Rd, Reading RG1 8AD"
"Nick Scott-Jones";"B4 Parking - Weaman Street, (Birmingham B4)";"B4 Parking - Birmingham";"";"Proposal";"Q2-2017";"GBP";"275000,00";"50";"487,0000000000";"24-3-2017";"31-5-2017";"487,0000000000";"0065800000FH6Dz";"";"UK";"";"Spotting / Bike Tours";"EUR";"323529,41";"GBP";"";"";"";"";"";"Weaman Street, Birmingham"
